step,loss_value_function,loss_FOC_g,loss_FOC_a,loss_FOC_d,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
100000,4.44029e-01,2.06491e-01,2.21972e-01,6.02650e-03,8.15786e-03,7.45749e-02,570
101000,4.53939e-01,2.04765e-01,2.57664e-01,7.29525e-03,1.02175e-02,9.00946e-02,576
102000,4.51240e-01,1.88371e-01,2.46206e-01,7.43892e-03,8.69837e-03,7.74577e-02,581
103000,4.44740e-01,1.86921e-01,2.40265e-01,6.50453e-03,7.28689e-03,7.46802e-02,587
104000,4.52728e-01,2.06319e-01,2.52702e-01,6.20702e-03,9.58371e-03,8.59519e-02,592
105000,4.47764e-01,1.94671e-01,2.32423e-01,6.55826e-03,8.37446e-03,7.75911e-02,597
106000,4.44123e-01,1.85298e-01,2.38576e-01,7.31041e-03,7.75746e-03,7.62549e-02,603
107000,4.40630e-01,1.90124e-01,2.13265e-01,6.04187e-03,5.74002e-03,6.68077e-02,608
108000,4.45583e-01,1.91936e-01,2.30403e-01,6.11870e-03,7.79695e-03,7.54427e-02,614
109000,4.38592e-01,1.89528e-01,2.21441e-01,6.53173e-03,5.31395e-03,6.83716e-02,619
110000,4.49283e-01,2.07826e-01,2.44801e-01,5.72157e-03,8.05393e-03,7.76671e-02,625
111000,4.46183e-01,1.93615e-01,2.55815e-01,6.41739e-03,8.02366e-03,8.08026e-02,630
112000,4.39621e-01,1.89518e-01,2.53054e-01,6.72269e-03,7.27401e-03,7.62935e-02,636
113000,4.45263e-01,1.92887e-01,2.30375e-01,6.57525e-03,6.92895e-03,6.97284e-02,641
114000,4.49912e-01,2.00091e-01,2.42919e-01,6.78706e-03,9.43539e-03,8.59550e-02,646
115000,4.45633e-01,2.08965e-01,2.29996e-01,6.08361e-03,7.55195e-03,7.48697e-02,652
116000,4.47379e-01,1.94598e-01,2.26418e-01,6.33525e-03,7.56782e-03,7.38354e-02,657
117000,4.46168e-01,2.09460e-01,2.11333e-01,5.77852e-03,8.04967e-03,7.92429e-02,663
118000,4.45301e-01,1.89461e-01,2.29133e-01,6.29578e-03,7.45135e-03,7.51474e-02,668
119000,4.43994e-01,1.86806e-01,2.11334e-01,5.55469e-03,7.18423e-03,7.25704e-02,674
120000,4.49307e-01,1.97595e-01,2.37671e-01,6.36471e-03,8.57708e-03,8.00196e-02,679
121000,4.50007e-01,1.97886e-01,2.54506e-01,6.93822e-03,8.72062e-03,8.08772e-02,684
122000,4.41559e-01,1.81858e-01,2.33834e-01,6.28023e-03,6.21185e-03,7.12241e-02,690
123000,4.42766e-01,2.07747e-01,2.14854e-01,5.72690e-03,6.34717e-03,6.99395e-02,695
124000,4.44432e-01,1.88589e-01,2.31985e-01,6.09944e-03,7.25516e-03,7.28820e-02,701
125000,4.46536e-01,1.95187e-01,2.41717e-01,5.22566e-03,7.59629e-03,7.30101e-02,706
126000,4.42794e-01,2.01322e-01,2.16323e-01,5.93178e-03,6.68043e-03,7.02766e-02,712
127000,4.43086e-01,2.08774e-01,2.12975e-01,6.18802e-03,6.65837e-03,7.17788e-02,717
128000,4.48153e-01,1.95707e-01,2.60340e-01,5.90102e-03,8.71281e-03,8.32742e-02,723
129000,4.43249e-01,2.08347e-01,2.19815e-01,6.12862e-03,6.56690e-03,6.93492e-02,728
130000,4.49648e-01,1.92619e-01,2.62496e-01,6.35572e-03,9.53334e-03,8.88017e-02,733
