step,loss_value_function,loss_FOC_g,loss_FOC_a,loss_FOC_d,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
217000,6.63687e-03,1.17461e-01,1.20332e-01,1.10119e-01,2.15582e-01,9.89966e-01,1185
218000,6.68414e-03,1.15230e-01,1.22020e-01,1.08623e-01,8.12903e-01,9.89770e-01,1190
219000,6.69153e-03,1.18171e-01,1.19107e-01,1.10349e-01,5.58455e-01,9.89879e-01,1195
220000,6.55186e-03,1.17956e-01,1.19923e-01,1.10668e-01,2.44566e-01,9.89963e-01,1200
221000,6.64674e-03,1.18150e-01,1.18410e-01,1.09662e-01,5.19571e-01,9.89985e-01,1205
222000,6.74269e-03,1.20599e-01,1.19743e-01,1.11632e-01,1.25602e+00,9.89815e-01,1210
223000,6.77650e-03,1.21241e-01,1.20679e-01,1.10413e-01,3.95680e-01,9.89895e-01,1216
224000,6.62565e-03,1.18122e-01,1.18663e-01,1.12087e-01,1.75665e+00,9.89743e-01,1221
225000,6.77860e-03,1.20216e-01,1.18738e-01,1.11603e-01,2.54775e-01,9.89954e-01,1226
226000,6.76755e-03,1.18607e-01,1.19632e-01,1.09226e-01,5.54626e-01,9.90043e-01,1231
227000,6.56169e-03,1.19963e-01,1.18384e-01,1.10588e-01,5.73288e-01,9.89824e-01,1236
228000,6.79683e-03,1.20461e-01,1.18792e-01,1.12397e-01,2.12843e-01,9.89766e-01,1242
229000,6.70771e-03,1.20405e-01,1.15947e-01,1.13177e-01,5.77788e-01,9.89868e-01,1247
230000,6.73811e-03,1.18225e-01,1.20820e-01,1.08730e-01,9.22671e-01,9.89909e-01,1252
231000,6.69341e-03,1.17829e-01,1.21442e-01,1.07343e-01,1.54536e+00,9.89877e-01,1257
232000,6.71632e-03,1.19727e-01,1.21368e-01,1.10021e-01,8.16871e-01,9.90011e-01,1262
233000,6.70812e-03,1.20733e-01,1.16634e-01,1.11213e-01,2.25988e+00,9.89990e-01,1267
234000,6.65436e-03,1.21550e-01,1.17516e-01,1.11070e-01,1.23915e+00,9.90137e-01,1273
235000,6.65763e-03,1.24645e-01,1.14369e-01,1.12381e-01,1.83120e+00,9.89841e-01,1278
236000,6.72016e-03,1.18269e-01,1.18430e-01,1.10704e-01,1.63841e+00,9.89835e-01,1283
237000,6.58421e-03,1.13777e-01,1.21361e-01,1.06777e-01,7.83445e-01,9.89881e-01,1288
238000,6.60906e-03,1.22182e-01,1.16252e-01,1.11428e-01,3.84329e+00,9.89638e-01,1293
239000,6.69226e-03,1.21313e-01,1.16507e-01,1.11213e-01,6.31257e-01,9.89918e-01,1299
240000,6.76609e-03,1.19997e-01,1.18783e-01,1.13231e-01,6.34670e-01,9.90166e-01,1304
241000,6.75667e-03,1.20184e-01,1.21453e-01,1.10320e-01,3.58985e-01,9.89530e-01,1309
242000,6.61465e-03,1.16733e-01,1.18574e-01,1.08969e-01,2.39209e+00,9.89869e-01,1314
243000,6.73679e-03,1.21200e-01,1.16991e-01,1.12997e-01,1.47530e+00,9.89698e-01,1319
244000,6.68894e-03,1.14468e-01,1.22778e-01,1.08344e-01,9.27784e-01,9.90010e-01,1324
245000,6.84348e-03,1.19594e-01,1.24355e-01,1.11415e-01,1.22214e+00,9.90059e-01,1330
246000,6.53776e-03,1.21378e-01,1.13016e-01,1.11453e-01,2.67580e+00,9.90036e-01,1335
247000,6.64790e-03,1.21225e-01,1.18817e-01,1.10699e-01,3.32630e+00,9.90111e-01,1340
248000,6.68591e-03,1.19760e-01,1.19622e-01,1.10763e-01,2.85794e+00,9.89891e-01,1345
249000,6.56808e-03,1.16616e-01,1.17093e-01,1.10395e-01,1.26640e+00,9.90009e-01,1350
250000,6.82720e-03,1.20626e-01,1.20256e-01,1.11179e-01,1.40959e+00,9.89752e-01,1356
251000,6.66091e-03,1.19263e-01,1.17017e-01,1.10942e-01,3.33507e+00,9.90196e-01,1361
252000,6.61559e-03,1.20882e-01,1.15867e-01,1.09146e-01,1.46308e+00,9.90021e-01,1366
253000,6.74726e-03,1.22714e-01,1.17518e-01,1.10615e-01,2.56853e+00,9.89676e-01,1371
254000,6.73796e-03,1.16130e-01,1.23624e-01,1.06515e-01,2.32544e+00,9.89930e-01,1376
255000,6.67852e-03,1.20356e-01,1.16646e-01,1.10885e-01,4.27430e+00,9.89610e-01,1382
256000,6.71165e-03,1.19767e-01,1.18872e-01,1.09568e-01,1.97133e+00,9.89891e-01,1387
257000,6.78427e-03,1.23163e-01,1.20775e-01,1.10681e-01,2.79339e+00,9.89729e-01,1392
258000,6.77430e-03,1.17706e-01,1.21794e-01,1.09412e-01,3.70745e+00,9.89734e-01,1397
